Backburner Report File

Job:                neon_v09
Submitted by:       abogomolov
From:               aston3d
Job Submission:     1/27/2016 5:07:07 PM
Job Started:        1/27/2016 5:08:10 PM
Job Finished:       1/27/2016 8:48:38 PM

Date	Time	Task	Elapsed	Server
01/27/16	17:08:10	00000	423.453	2renderingserv
01/27/16	17:08:10	00001	725.468	ipisoft
01/27/16	17:08:10	00002	688.294	brainstorm
01/27/16	17:08:10	00003	753.947	aston3d
01/27/16	17:08:11	00004	418.623	render1
01/27/16	17:08:25	00005	1223.419	edius4
01/27/16	17:08:27	00006	621.993	meijin-3dmax
01/27/16	17:15:09	00007	415.862	render1
01/27/16	17:15:13	00008	421.417	2renderingserv
01/27/16	17:18:49	00009	610.821	meijin-3dmax
01/27/16	17:19:38	00010	712.458	brainstorm
01/27/16	17:20:15	00011	721.254	ipisoft
01/27/16	17:20:44	00012	769.090	aston3d
01/27/16	17:22:05	00013	412.489	render1
01/27/16	17:22:15	00014	432.260	2renderingserv
01/27/16	17:28:49	00015	1278.161	edius4
01/27/16	17:28:58	00016	404.288	render1
01/27/16	17:29:00	00017	617.491	meijin-3dmax
01/27/16	17:29:27	00018	412.054	2renderingserv
01/27/16	17:31:30	00019	721.016	brainstorm
01/27/16	17:32:16	00020	793.219	ipisoft
01/27/16	17:33:33	00021	851.790	aston3d
01/27/16	17:35:42	00022	438.576	render1
01/27/16	17:36:19	00023	439.250	2renderingserv
01/27/16	17:39:17	00024	670.767	meijin-3dmax
01/27/16	17:43:01	00025	429.725	render1
01/27/16	17:43:32	00026	757.994	brainstorm
01/27/16	17:43:38	00027	437.455	2renderingserv
01/27/16	17:45:30	00028	818.709	ipisoft
01/27/16	17:47:45	00029	863.562	aston3d
01/27/16	17:50:07	00030	1416.046	edius4
01/27/16	17:50:10	00031	443.516	render1
01/27/16	17:50:28	00032	690.218	meijin-3dmax
01/27/16	17:50:56	00033	461.246	2renderingserv
01/27/16	17:56:09	00034	872.521	brainstorm
01/27/16	17:57:34	00035	481.688	render1
01/27/16	17:58:37	00036	494.694	2renderingserv
01/27/16	17:59:08	00037	958.552	ipisoft
01/27/16	18:01:58	00038	788.358	meijin-3dmax
01/27/16	18:02:08	00039	1156.506	aston3d
01/27/16	18:05:36	00040	515.347	render1
01/27/16	18:06:52	00041	512.496	2renderingserv
01/27/16	18:10:42	00042	908.513	brainstorm
01/27/16	18:13:43	00043	1605.197	edius4
01/27/16	18:14:11	00044	487.631	render1
01/27/16	18:15:07	00045	773.424	meijin-3dmax
01/27/16	18:15:07	00046	927.590	ipisoft
01/27/16	18:15:24	00047	497.976	2renderingserv
01/27/16	18:21:25	00048	1021.589	aston3d
01/27/16	18:22:18	00049	492.299	render1
01/27/16	18:23:42	00050	507.418	2renderingserv
01/27/16	18:25:51	00051	903.167	brainstorm
01/27/16	18:28:00	00052	786.549	meijin-3dmax
01/27/16	18:30:31	00053	519.478	render1
01/27/16	18:30:35	00054	935.779	ipisoft
01/27/16	18:32:09	00055	525.583	2renderingserv
01/27/16	18:38:26	00056	1057.430	aston3d
01/27/16	18:39:10	00057	512.439	render1
01/27/16	18:40:28	00058	1739.857	edius4
01/27/16	18:40:54	00059	988.776	brainstorm
01/27/16	18:40:55	00060	519.348	2renderingserv
01/27/16	18:41:07	00061	822.923	meijin-3dmax
01/27/16	18:46:10	00062	993.354	ipisoft
01/27/16	18:47:43	00063	524.772	render1
01/27/16	18:49:34	00064	532.354	2renderingserv
01/27/16	18:54:50	00065	850.482	meijin-3dmax
01/27/16	18:56:04	00066	1099.986	aston3d
01/27/16	18:56:27	00067	537.692	render1
01/27/16	18:57:22	00068	1017.068	brainstorm
01/27/16	18:58:27	00069	539.603	2renderingserv
01/27/16	19:02:44	00070	1026.780	ipisoft
01/27/16	19:05:25	00071	541.874	render1
01/27/16	19:07:26	00072	521.088	2renderingserv
01/27/16	19:09:00	00073	825.124	meijin-3dmax
01/27/16	19:09:28	00074	1689.772	edius4
01/27/16	19:14:20	00075	962.533	brainstorm
01/27/16	19:14:24	00076	1114.628	aston3d
01/27/16	19:14:27	00077	537.104	render1
01/27/16	19:16:07	00078	543.732	2renderingserv
01/27/16	19:19:50	00079	1064.793	ipisoft
01/27/16	19:22:45	00080	870.062	meijin-3dmax
01/27/16	19:23:24	00081	554.772	render1
01/27/16	19:25:11	00082	549.074	2renderingserv
01/27/16	19:30:22	00083	989.693	brainstorm
01/27/16	19:32:39	00084	543.033	render1
01/27/16	19:32:58	00085	1198.732	aston3d
01/27/16	19:34:20	00086	507.948	2renderingserv
01/27/16	19:37:15	00087	800.275	meijin-3dmax
01/27/16	19:37:35	00088	953.867	ipisoft
01/27/16	19:37:38	00089	1581.488	edius4
01/27/16	19:41:42	00090	472.661	render1
01/27/16	19:42:48	00091	474.930	2renderingserv
01/27/16	19:46:52	00092	880.639	brainstorm
01/27/16	19:49:35	00093	469.284	render1
01/27/16	19:50:36	00094	740.880	meijin-3dmax
01/27/16	19:50:43	00095	466.791	2renderingserv
01/27/16	19:52:57	00096	1125.411	aston3d
01/27/16	19:53:29	00097	904.841	ipisoft
01/27/16	19:57:24	00098	494.171	render1
01/27/16	19:58:30	00099	496.473	2renderingserv
01/27/16	20:01:32	00100	827.055	brainstorm
01/27/16	20:02:57	00101	704.895	meijin-3dmax
01/27/16	20:03:59	00102	1433.942	edius4
01/27/16	20:05:38	00103	436.014	render1
01/27/16	20:06:46	00104	419.901	2renderingserv
01/27/16	20:08:34	00105	841.303	ipisoft
01/27/16	20:11:42	00106	1263.139	aston3d
01/27/16	20:12:54	00107	431.132	render1
01/27/16	20:13:46	00108	417.645	2renderingserv
01/27/16	20:14:41	00109	649.216	meijin-3dmax
01/27/16	20:15:19	00110	741.452	brainstorm
01/27/16	20:20:05	00111	418.355	render1
01/27/16	20:20:44	00112	412.048	2renderingserv
01/27/16	20:22:35	00113	778.997	ipisoft
01/27/16	20:25:31	00114	616.336	meijin-3dmax
01/27/16	20:27:04	00115	383.073	render1
01/27/16	20:27:36	00116	375.783	2renderingserv
01/27/16	20:27:41	00117	689.110	brainstorm
01/27/16	20:27:53	00118	1235.547	edius4
01/27/16	20:32:46	00119	952.770	aston3d
01/27/16	20:33:27	00120	370.257	render1
